,Match_Id,Round_ID,Round_Number,Round_Time,Event_Type,Kill_ID,Traded_by_ID,Traded_for_ID,Bomb_Status,Resurrection_ID,Player_ID,Assists,Reference_Player_ID,Damage_Type,Weapon_ID,Ability
105,167897,2577053,12,53793,kill,20487409.0,,,,,1597.0,"[{'assistId': 7652536, 'assistantId': 1802, 'damage': 60}, {'assistId': 7652535, 'assistantId': 1023, 'damage': 130}]",4509.0,weapon,4.0,
106,167897,2577053,12,54750,kill,20487410.0,,,,,1597.0,"[{'assistId': 7652537, 'assistantId': 1802, 'damage': 0}]",1804.0,weapon,4.0,
107,167897,2577053,12,59613,plant,,,,1888752.0,,1597.0,[],,,,
108,167897,2577054,13,0,start,,,,,,,[],,,,
109,167897,2577054,13,55021,kill,20487418.0,,,,,3599.0,[],1012.0,weapon,13.0,
110,167897,2577054,13,57442,kill,20487417.0,20487420.0,,,,1023.0,[],4509.0,weapon,12.0,
111,167897,2577054,13,58957,kill,20487420.0,,20487417.0,,,1804.0,[],1023.0,weapon,11.0,
112,167897,2577054,13,68314,plant,,,,1888753.0,,11412.0,[],,,,
113,167897,2577054,13,88249,kill,20487421.0,,,,,763.0,"[{'assistId': 7652544, 'assistantId': 1802, 'damage': 0}, {'assistId': 7652543, 'assistantId': 1023, 'damage': 105}]",1804.0,weapon,12.0,
114,167897,2577054,13,99936,kill,20487415.0,,,,,1802.0,"[{'assistId': 7652541, 'assistantId': 763, 'damage': 71}]",11412.0,weapon,12.0,
115,167897,2577054,13,103023,kill,20487419.0,20487422.0,,,,1597.0,"[{'assistId': 7652542, 'assistantId': 1012, 'damage': 70}]",3599.0,weapon,12.0,
116,167897,2577054,13,103335,kill,20487422.0,20487416.0,20487419.0,,,1091.0,[],1597.0,weapon,11.0,
117,167897,2577054,13,106070,kill,20487416.0,,20487422.0,,,1802.0,[],1091.0,weapon,12.0,
118,167897,2577054,13,107200,defuse,,,,1888753.0,,763.0,[],,,,
119,167897,2577055,14,0,start,,,,,,,[],,,,
120,167897,2577055,14,14717,kill,20487423.0,,,,,1802.0,[],3599.0,weapon,6.0,
121,167897,2577055,14,15475,kill,20487424.0,20487426.0,,,,1802.0,[],1091.0,weapon,6.0,
122,167897,2577055,14,15882,kill,20487426.0,,20487424.0,,,1804.0,[],1802.0,weapon,13.0,
123,167897,2577055,14,29299,kill,20487425.0,,,,,1023.0,"[{'assistId': 7652545, 'assistantId': 1597, 'damage': 95}]",4509.0,ability,,Mosh Pit
