,Map,Round_ID,Round_Number,Player_ID,Agent_ID,Round_Score,Weapon_ID,Armor_ID,Remaining_Credits,Spent_Credits,Loadout_Value,Survived,kast
107,Bind,2577052,11,3599,6,64,4,2.0,4400,4300,4300,True,True
108,Bind,2577052,11,11412,21,436,4,2.0,5250,250,4450,True,True
109,Bind,2577052,11,1804,8,521,4,2.0,8600,200,5450,True,True
110,Bind,2577053,12,763,2,35,6,2.0,200,3900,4600,False,False
111,Bind,2577053,12,1012,6,300,6,2.0,50,4600,4800,False,True
112,Bind,2577053,12,1023,21,360,16,1.0,50,3200,3200,False,True
113,Bind,2577053,12,1802,8,85,4,2.0,0,4100,4450,False,True
114,Bind,2577053,12,1597,19,770,4,1.0,0,4300,4300,True,True
115,Bind,2577053,12,4509,2,644,15,2.0,5600,3400,6700,False,True
116,Bind,2577053,12,1091,13,205,4,2.0,4550,4450,4850,False,True
117,Bind,2577053,12,3599,6,40,4,2.0,6800,600,4500,False,False
118,Bind,2577053,12,11412,21,0,4,2.0,7100,1550,4450,False,False
119,Bind,2577053,12,1804,8,305,4,2.0,7550,1450,5450,False,True
120,Bind,2577054,13,763,2,307,12,,100,700,700,True,True
121,Bind,2577054,13,1012,6,70,11,1.0,0,800,800,False,True
122,Bind,2577054,13,1023,21,380,12,,0,800,800,False,True
123,Bind,2577054,13,1802,8,383,12,,100,700,800,True,True
124,Bind,2577054,13,1597,19,190,12,,100,700,700,False,True
125,Bind,2577054,13,4509,2,0,11,1.0,0,800,800,False,True
126,Bind,2577054,13,1091,13,209,11,,100,700,950,False,True
127,Bind,2577054,13,3599,6,329,13,,0,800,800,False,True
128,Bind,2577054,13,11412,21,0,12,,0,800,800,False,False
129,Bind,2577054,13,1804,8,230,11,1.0,0,800,900,False,True
130,Bind,2577055,14,763,2,256,6,1.0,0,3300,3800,True,True
131,Bind,2577055,14,1012,6,0,19,2.0,300,2700,2700,True,True
132,Bind,2577055,14,1023,21,116,13,1.0,2550,650,1750,True,True
133,Bind,2577055,14,1802,8,608,6,1.0,0,3500,3600,False,True
134,Bind,2577055,14,1597,19,169,4,1.0,0,3300,3300,True,True
135,Bind,2577055,14,4509,2,0,11,,1800,400,400,False,False
136,Bind,2577055,14,1091,13,30,12,,2000,500,750,False,True
137,Bind,2577055,14,3599,6,0,13,,1600,800,800,False,False
138,Bind,2577055,14,11412,21,66,11,,1650,550,550,False,False
139,Bind,2577055,14,1804,8,245,13,,1600,800,1100,False,True
140,Bind,2577056,15,763,2,35,6,1.0,2700,700,4500,False,False
141,Bind,2577056,15,1012,6,275,6,2.0,0,3300,5300,True,True
142,Bind,2577056,15,1023,21,231,15,1.0,800,4950,6450,True,True
143,Bind,2577056,15,1802,8,567,6,2.0,1950,1450,4650,False,True
144,Bind,2577056,15,1597,19,0,4,1.0,1900,1100,4800,True,True
145,Bind,2577056,15,4509,2,0,6,1.0,200,4000,4000,False,False
146,Bind,2577056,15,1091,13,0,4,1.0,400,4000,4250,False,False
147,Bind,2577056,15,3599,6,64,4,1.0,100,3900,3900,False,False
148,Bind,2577056,15,11412,21,275,4,1.0,750,3300,3850,False,True
149,Bind,2577056,15,1804,8,278,4,1.0,450,3750,4050,True,True
150,Bind,2577057,16,763,2,233,6,2.0,1500,4200,4600,False,True
151,Bind,2577057,16,1012,6,1036,6,2.0,2600,600,5300,True,True
152,Bind,2577057,16,1023,21,0,15,2.0,2450,1550,7050,True,True
153,Bind,2577057,16,1802,8,39,6,2.0,950,4400,4950,False,False
154,Bind,2577057,16,1597,19,40,4,2.0,3200,1700,5400,False,False
155,Bind,2577057,16,4509,2,54,19,1.0,1700,1700,2200,False,False
156,Bind,2577057,16,1091,13,217,19,1.0,1550,2050,2450,False,True
157,Bind,2577057,16,3599,6,368,19,1.0,1600,1700,1700,False,True
158,Bind,2577057,16,11412,21,0,13,1.0,2650,1500,1750,False,False
159,Bind,2577057,16,1804,8,305,4,2.0,2400,1450,4650,False,True
160,Bind,2577058,17,763,2,0,6,2.0,3200,4400,4400,False,False
161,Bind,2577058,17,1012,6,0,6,2.0,1900,1600,5300,False,True
162,Bind,2577058,17,1023,21,201,15,2.0,2300,250,7050,False,True
163,Bind,2577058,17,1802,8,742,6,2.0,2750,4100,4650,False,True
164,Bind,2577058,17,1597,19,300,4,2.0,2050,4150,4600,False,True
165,Bind,2577058,17,4509,2,0,6,2.0,800,4100,4600,False,False
166,Bind,2577058,17,1091,13,332,4,1.0,1100,3850,4250,False,True
167,Bind,2577058,17,3599,6,40,4,1.0,1100,3900,3900,False,False
168,Bind,2577058,17,11412,21,50,4,2.0,1950,3900,4450,False,True
169,Bind,2577058,17,1804,8,1004,4,2.0,1500,4300,4650,False,True
170,Bind,2577059,18,763,2,725,6,2.0,1000,4100,4600,True,True
171,Bind,2577059,18,1012,6,573,6,1.0,100,3700,3900,False,True
172,Bind,2577059,18,1023,21,25,6,2.0,200,4200,4200,True,True
173,Bind,2577059,18,1802,8,0,6,2.0,700,4350,4650,True,True
174,Bind,2577059,18,1597,19,0,4,1.0,400,3750,4000,False,False
175,Bind,2577059,18,4509,2,55,6,1.0,100,4000,4000,False,True
176,Bind,2577059,18,1091,13,235,4,1.0,600,4000,4250,True,True
177,Bind,2577059,18,3599,6,275,4,2.0,100,4300,4300,False,True
178,Bind,2577059,18,11412,21,0,4,2.0,800,4450,4450,False,False
179,Bind,2577059,18,1804,8,19,4,2.0,1050,4350,4650,False,False
180,Bind,2577060,19,763,2,0,6,2.0,2700,1700,4400,True,True
181,Bind,2577060,19,1012,6,250,6,,2600,3800,3800,False,True
182,Bind,2577060,19,1023,21,492,6,2.0,50,250,4450,False,True
